subject_id,eta,rho,q_d_n,q_d,q_s_n,q_s,cost_stop_error,inv_temp
NDAR_INV1V9TCMZW,-0.074530244,0.64706814,0.81735843,0.79535306,0.05265829,0.6998517,1.7898362,12.526711
NDAR_INVZ4PPRCB7,6.916688,0.85485417,0.8669032,0.8452854,0.028988967,0.715677,1.8500309,82.67395
NDAR_INVBT3FWGL7,0.091921374,0.6835202,0.8750867,0.8911598,0.021897562,0.84156895,1.6916277,41.766884
NDAR_INVJJ9NBNC9,0.2855362,0.34782326,0.77415174,0.81346697,0.030697634,0.6971073,1.7275556,32.565105
NDAR_INVH1E70RH9,1.2058461,0.7088627,0.8260308,0.8570913,0.025939878,0.73005724,1.7827505,38.98366
NDAR_INVYYTGPBJA,1.6916639,0.39063868,0.9466552,0.9643109,0.035712264,0.8234943,1.6915361,73.99151
NDAR_INVRCW2KYAP,0.7369757,0.4388512,0.9514297,0.97723764,0.025543839,0.6617101,1.7977368,78.35867
NDAR_INV8NKGU38D,-0.07974944,0.6811032,0.8116576,0.84939575,0.040480513,0.6407397,1.7337847,13.496081
NDAR_INVDAY78DG2,0.058296792,0.8477431,0.78338295,0.878219,0.03128478,0.6749099,1.851969,73.961914
NDAR_INVV381L7JK,2.3067946,0.56614184,0.9212651,0.919863,0.03358586,0.8342812,1.5887549,57.738956
NDAR_INVCCPGPFR1,0.24544686,0.86542666,0.83242524,0.83929324,0.029059878,0.7729452,1.756239,30.984539
NDAR_INV9FKN8J61,6.091895,0.76243144,0.78198963,0.76403433,0.018706968,0.7846416,1.6839767,56.92981
NDAR_INVVKCT9VLF,-0.23625684,0.5247066,0.8199866,0.81564164,0.10497872,0.73795426,1.8230213,16.413017
