subject_id,cost_go_error,cost_go_missing,cost_stop_error,cost_time,inv_temp,q_d,q_d_n,q_s,q_s_n,rate_stop_trial
INV06DP74KL,1.0,1.0,1.6414822906592894,0.001,25.588073914527893,0.7447573813796043,0.8408699454218149,0.7444409624636174,0.0298207664729397,0.1666666666666666
INV06LWXY67,1.0,1.0,1.4955785212963904,0.001,37.70469476127624,0.670188448280096,0.7751823469214142,0.659893093585968,0.0521628073702358,0.1666666666666666
INV06WHVUPX,1.0,1.0,1.5993801368976,0.001,47.606887121200565,0.9172314758002758,0.7315343993417919,0.7532187077701091,0.0261160467866438,0.1666666666666666
INV07924XF1,1.0,1.0,1.7628814352705895,0.001,54.75970091819763,0.7837035476863384,0.7825552889369428,0.8320761681497097,0.0466664914326611,0.1666666666666666
INV07BR8GMY,1.0,1.0,0.7113742688716531,0.001,64.92899204444885,0.5788007172346115,0.0104040057966854,0.7592529364824295,0.6900286892984295,0.1666666666666666
INV07CMT243,1.0,1.0,0.6434500135419926,0.001,97.19536281204223,0.6262137740254402,0.432084537452567,0.7660677431821823,0.0983740839916909,0.1666666666666666
INV07RAHHYH,1.0,1.0,1.6675616513708122,0.001,71.74443308067322,0.8272754127979278,0.792408350983169,0.674284236073494,0.0972001253542585,0.1666666666666666
INV07UK1DPH,1.0,1.0,1.5719063421886572,0.001,52.76526207828522,0.7225048624575138,0.5064873342816718,0.727542199909687,0.0234834601229076,0.1666666666666666
INV07XG8391,1.0,1.0,1.3625783537126233,0.001,25.66942280101776,0.6822938211560249,0.4331083709640297,0.8068741849064827,0.0241038054452969,0.1666666666666666
INV07XXFHDK,1.0,1.0,1.8077416582963344,0.001,31.710626512527465,0.7818012372851372,0.6794127414145041,0.6992542405128479,0.0274389430943469,0.1666666666666666
INV085CYDEZ,1.0,1.0,1.6722498889755046,0.001,28.211787256240846,0.8552577784955502,0.8224611766263843,0.6719520249962807,0.0273504497778875,0.1666666666666666
INV086114AT,1.0,1.0,1.69719334579387,0.001,65.45344856262207,0.7893289166390896,0.74735859920457,0.7004140886962413,0.0570964350753783,0.1666666666666666
INV08AT7TLH,1.0,1.0,0.850770619547968,0.001,68.88728093910217,0.7263131387531757,0.7432189271133393,0.7313337259292603,0.0496508972906813,0.1666666666666666
INV08DNLREC,1.0,1.0,1.5646582266003544,0.001,45.83965925312042,0.8696056368052959,0.9038854323774576,0.7838879752159119,0.0345864972742238,0.1666666666666666
INV08K0R9C4,1.0,1.0,1.6119949372233051,0.001,84.19001460075378,0.6767248581051827,0.2134107740045874,0.7898902077972889,0.0588131708565283,0.1666666666666666
INV08K8VF33,1.0,1.0,1.490007525461344,0.001,94.21089737319946,0.7801966417133808,0.7617253796141594,0.8742044166326522,0.0567165345222492,0.1666666666666666
INV08YLBTNH,1.0,1.0,1.4278533627926036,0.001,88.20950272369384,0.6519349062144756,0.1051150784496817,0.7987186448276042,0.0998408591794835,0.1666666666666666
INV094UXV0J,1.0,1.0,1.7175606375403136,0.001,92.13203715133668,0.8684495059847832,0.8958467288091779,0.7421926393806935,0.0684157106860659,0.1666666666666666
INV095EVLDD,1.0,1.0,0.39251877401699,0.001,96.86261915969848,0.6397578269839287,0.53869004961272,0.8054200912714005,0.1035428699380208,0.1666666666666666
INV097LUBWX,1.0,1.0,1.156933206870696,0.001,87.8595968284607,0.6163895671069622,0.5763987935325131,0.8099239916503429,0.1116160389376018,0.1666666666666666
INV09AKV10T,1.0,1.0,1.7630218992545226,0.001,34.65998820400238,0.7703954516649246,0.8387049036743119,0.7010703372657299,0.028839710867275,0.1666666666666666
INV09VBPCLU,1.0,1.0,1.5271222813230163,0.001,68.3791088142395,0.9028941434025765,0.7482200590672438,0.8027582953870297,0.1876347059740219,0.1666666666666666
