case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
144,0.7174278464669681,0.67524236,1.0,0.850311178200557,0.7882643,1.0,5,5.1315312,1.0,40.85190402064886,32.959476,1.0,1.160255429913784,12.707629,0.0
145,0.5140982146926207,0.5321094,1.0,0.8752037428794985,0.84115547,1.0,5,6.0646524,1.0,4.668196510900832,4.121131,1.0,1.9501785877535838,1.3719826,0.0
146,0.57327259942815,0.5685582,1.0,0.5085622558075182,0.7857965,0.0,9,6.8385987,0.0,5.2506999515551405,5.321359,1.0,2.855322877260786,3.3796384,1.0
147,0.5795634995419028,0.70572215,1.0,0.8903707977188277,0.8150564,1.0,16,14.080619,0.0,35.27921082521666,33.362637,1.0,4.335618664213563,14.228939,1.0
148,0.7765224905007779,0.5998202,1.0,0.9999248873746946,0.78268373,0.0,15,10.082899,1.0,42.05968597325774,23.88568,1.0,5.135194037650157,17.722164,1.0
149,0.5920735737496279,0.6832365,1.0,0.8787325169053806,0.84075755,1.0,5,4.85779,1.0,26.421662722037222,24.334042,1.0,4.810913336020806,8.445371,1.0
150,0.9011489669336679,0.9233605,1.0,0.8620642770275995,0.84898895,1.0,8,7.4091005,1.0,3.5207834469283945,3.7286782,1.0,13.127637306946767,15.175721,1.0
151,0.8721271636860861,0.8781672,1.0,0.6233454014508094,0.65303427,1.0,4,4.7834687,1.0,12.040317084874745,13.251205,1.0,3.6363823116302325,2.0965312,1.0
152,0.9936535540969822,0.89434165,0.0,0.7770195215106239,0.8491855,1.0,11,12.846641,0.0,2.9387173765844206,2.5500143,1.0,1.3477147587800968,1.7255945,1.0
153,0.6650206778102166,0.71514475,1.0,0.7423306320556358,0.79111296,1.0,13,12.245268,1.0,5.707400334794273,7.1095085,1.0,18.293389223338394,17.785591,1.0
154,0.6726348010602423,0.6749998,1.0,0.8620141757619412,0.86256975,1.0,6,5.795236,1.0,1.5853161703653873,2.4572213,1.0,3.583835169466969,3.1177154,1.0
155,0.7472724705415452,0.87172925,0.0,0.7788963519349177,0.7732987,1.0,11,10.856193,1.0,9.410558790189196,10.602772,1.0,10.661697675127646,5.824966,1.0
156,0.7003452632386017,0.7268303,1.0,0.5434935077780707,0.546658,1.0,11,11.126873,1.0,1.8129556279172176,2.0196857,1.0,1.2102962372141186,1.814359,1.0
157,0.8893820010669263,0.83654076,1.0,0.6206813410848705,0.691273,0.0,15,14.910809,1.0,38.619312032534566,34.18239,1.0,5.360442487669254,3.403955,1.0
158,0.5518849093097008,0.5406339,1.0,0.7643535254622711,0.795237,1.0,11,12.097485,1.0,4.087465635711009,4.6832013,1.0,2.1251027251929444,1.552126,1.0
159,0.9619880363726778,0.80648214,1.0,0.822780141495415,0.780191,1.0,5,5.4072394,1.0,24.288659557718482,26.92427,1.0,6.237339193244765,9.618303,1.0
160,0.9143493130919409,0.82034576,1.0,0.9620893653547583,0.8780885,1.0,7,6.0794854,1.0,10.901185899301769,11.085285,1.0,15.317404687354882,26.094585,1.0
