case,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
127,12,10.160111,0.0,25.575565304011413,26.11068,1.0,3.0128545912574234,4.2599187,1.0,5.243716556518851,6.772653,1.0,0.18966908737938215,0.19656713,1.0
128,11,10.095865,0.0,41.35385490657753,32.584515,1.0,4.348514504284781,23.010984,1.0,1.0759226034389116,1.2149272,1.0,0.21359267603422033,0.15747401,1.0
129,12,11.736668,1.0,31.4061992044829,28.729395,1.0,1.195035835936424,11.605129,0.0,22.17441528028674,17.175098,1.0,0.013129690792721081,0.019328268,1.0
130,9,8.796991,1.0,42.89773561345731,41.37572,1.0,48.65431419759844,12.987979,0.0,4.211332244957177,3.4819808,1.0,0.019524451350855634,0.035279952,1.0
131,7,6.242442,0.0,32.04088263005055,7.6356125,0.0,24.1546910903993,8.771498,0.0,1.9878225437493537,4.728203,1.0,0.3488451625791131,0.05052681,0.0
132,12,11.933406,1.0,2.931438691695498,3.566451,1.0,9.142528590423368,12.534033,1.0,17.9005073569475,13.781928,1.0,0.20414121728359425,0.33379236,1.0
133,10,10.041922,1.0,11.990785748430895,8.887635,1.0,5.450829660499271,3.7009618,1.0,19.786393647177302,11.791829,1.0,0.270804122107195,0.19446948,1.0
134,5,4.4930353,0.0,40.270686103120234,35.72958,1.0,1.1082382049608654,3.9712324,0.0,1.1758309767641248,1.1869228,1.0,0.24978085285222434,0.22093277,1.0
135,13,12.872439,1.0,13.890643928856012,18.762524,1.0,6.973908307521441,7.930679,1.0,12.721710914393645,15.575085,1.0,0.2235320344476104,0.29468137,1.0
136,13,12.84197,1.0,5.682347996179184,7.06704,1.0,16.554335820071753,17.58045,1.0,8.568855104847147,16.368418,1.0,0.03710582994790401,0.051855013,1.0
137,11,10.328061,0.0,8.770362866523103,12.904489,1.0,5.956901632343956,4.2436876,1.0,42.9783289111895,10.991636,0.0,0.020560759632570508,0.04625288,1.0
138,16,15.543817,0.0,36.239667816595556,41.374897,1.0,14.34729221481453,12.757973,1.0,4.930738623616624,12.237653,1.0,0.028720196241981633,0.019423904,1.0
139,8,7.6884847,1.0,31.103926067920188,11.887265,0.0,28.83696061025554,14.704266,0.0,2.094801077357853,2.2810497,1.0,0.33272300752682654,0.09441281,0.0
140,16,15.337571,0.0,15.645814241562087,22.097563,1.0,27.25887261745438,17.84091,1.0,2.2848755085367936,2.0352664,1.0,0.02419327510172463,0.068545304,1.0
