case,gt_q_d,mu_q_d,hit90_q_d,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp
11,0.622176413045848,0.5280911,0.0,0.9871408380003721,0.69683826,1.0,0.9404814450971357,0.91363084,1.0,12,12.057255,1.0,13.573845238025466,12.985983,1.0
12,0.5114336370709982,0.56947327,1.0,0.6908339028763129,0.6111143,1.0,0.619959028435214,0.5773175,1.0,7,7.275416,1.0,34.43228308866664,51.7991,1.0
13,0.7401339809244023,0.76154685,1.0,0.671463132230037,0.69810873,1.0,0.5666815448118743,0.5583069,1.0,7,7.1205106,1.0,49.7726002647216,52.480328,1.0
14,0.8730123006326601,0.87600243,1.0,0.25997005285972863,0.29611322,1.0,0.5436388716668132,0.52803296,1.0,9,9.114285,1.0,21.730340187104503,42.18413,1.0
15,0.672197819412521,0.65055543,1.0,0.27313731897282434,0.32513788,1.0,0.7255841667135596,0.73386574,1.0,6,5.205237,1.0,15.209665948345041,39.125988,0.0
16,0.81961255449486,0.8414784,1.0,0.35691129670213195,0.28662878,1.0,0.7435602104266951,0.7378703,1.0,5,5.150028,1.0,66.21802343992942,76.21538,1.0
17,0.9953744950801064,0.9938955,1.0,0.8372937251160755,0.83973926,1.0,0.5296412980791219,0.5318706,1.0,6,6.1501393,1.0,55.32304872152715,70.858826,1.0
18,0.7171306383820137,0.7042008,1.0,0.5381105707138951,0.40080553,1.0,0.8894890318816993,0.9517338,0.0,16,15.72919,1.0,10.382678993579946,10.592675,1.0
19,0.8974790982752177,0.92335147,1.0,0.29033519899016225,0.4940766,1.0,0.9375833258901854,0.9452473,1.0,5,5.037101,1.0,11.950123725281035,11.251925,1.0
20,0.7410116481558013,0.7292119,1.0,0.13704641372393955,0.18218781,1.0,0.8336941267535398,0.84224534,1.0,14,12.839137,1.0,47.63172635435466,64.45806,1.0
21,0.8449496143545729,0.8354691,1.0,0.4627380800739106,0.4289953,1.0,0.9485129372112044,0.8686986,0.0,7,6.929041,1.0,16.892698153943286,19.38893,1.0
22,0.8158672588755719,0.8497727,1.0,0.2484859000082894,0.31478626,1.0,0.7351871907239943,0.7059231,1.0,5,4.818744,1.0,26.242363711729812,45.150047,0.0
23,0.6273974259273161,0.6265678,1.0,0.03466208419207173,0.13325289,1.0,0.9231592281869643,0.9332704,1.0,11,11.016385,1.0,35.32093890347578,34.322643,1.0
24,0.6728244166363735,0.6789823,1.0,0.08410932045101749,0.24065073,1.0,0.7725793135849378,0.8078512,1.0,14,13.771627,1.0,61.0591337736413,49.1584,1.0
